Volume,One Piece,Naruto,Bleach
Volume55,536154,1131672,742823
Volume56,2480124,1060121,600915
Volume57,2578730,1090567,660646
Volume58,2557356,933239,639122
Volume59,2593580,1192100,627996
Volume60,2492183,1266244,581422
Volume61,3382588,1281309,624403
Volume62,3207568,1055220,603344
Volume63,3073175,1205558,572656
Volume64,2652700,1153948,532356
