date,Points,Ranking,HighestRanking
6/9/2010,67.90000153,29287,5292
6/9/2010,34.29999924,31836,171
6/9/2010,206.8999939,20316,7832
6/9/2010,230.8000031,19105,386
6/9/2010,50.29999924,30778,228
6/9/2010,40.5,31477,117
6/9/2010,147.5,24200,82
6/9/2010,27.5,32191,567
6/9/2010,35,31783,200
6/9/2010,88.69999695,27995,138
6/9/2010,15.80000019,32496,275
6/9/2010,216.3000031,19814,42
6/9/2010,22.10000038,32431,123
6/9/2010,31.60000038,31967,323
6/9/2010,260.6000061,17735,56
6/9/2010,610.2000122,9392,97
6/9/2010,35.40000153,31761,494
6/9/2010,132.5,25224,936
6/9/2010,17.79999924,32475,607
6/9/2010,493.1000061,11158,11
6/9/2010,23.79999924,32403,267
6/10/2010,365.6000061,14004,32
6/10/2010,39.40000153,31532,432
6/10/2010,103.6999969,27155,109
6/10/2010,47,31033,247
6/10/2010,160.3000031,23363,36
6/10/2010,51.09999847,30719,347
6/10/2010,48.09999847,30946,370
6/10/2010,1145,5418,227
6/10/2010,245.3000031,18467,99
6/10/2010,24.10000038,32390,393
6/10/2010,36.59999847,31697,301
6/10/2010,65,29497,379
6/11/2010,39.5,31525,230
6/11/2010,15.80000019,32497,275
6/11/2010,31,31996,343
6/11/2010,41.59999847,31381,224
6/11/2010,54.20000076,30447,231
6/11/2010,27.5,32192,234
6/12/2010,673.7999878,8651,22
6/12/2010,26.5,32256,580
6/15/2010,30.5,32023,925
6/15/2010,96.30000305,27607,23777
6/15/2010,178.6999969,22053,252
6/15/2010,2804.300049,2399,8
6/16/2010,50.29999924,30779,349
6/17/2010,46.70000076,31051,380
6/17/2010,1066.800049,5808,54
6/17/2010,140.6999969,24666,107
6/18/2010,58,30065,3166
6/20/2010,330.5,15130,337
6/22/2010,17.79999924,32476,607
6/22/2010,55.5,30308,337
6/22/2010,20043.5,246,4
6/22/2010,0,32621,27059
6/22/2010,251.8000031,18145,118
6/22/2010,478.3999939,11393,405
6/23/2010,446.6000061,12018,354
6/23/2010,3781.699951,1793,14
6/23/2010,63.29999924,29624,599
6/23/2010,654.5999756,8847,148
6/23/2010,41,31461,425
6/23/2010,261.3999939,17699,327
6/23/2010,944.0999756,6478,16
6/24/2010,297.7000122,16232,362
6/24/2010,267,17436,8726
6/24/2010,57.59999847,30101,306
6/24/2010,43.20000076,31267,404
6/24/2010,2426.199951,2759,56
6/24/2010,60,29880,294
6/25/2010,138.3999939,24805,179
6/25/2010,38.09999847,31600,459
6/25/2010,458.2999878,11775,3047
6/25/2010,55.09999847,30352,324
6/25/2010,51.09999847,30720,6225
6/25/2010,98590.10156,12,6
6/25/2010,21.20000076,32440,2868
6/25/2010,1095.900024,5647,132
6/26/2010,495.3999939,11119,18
6/26/2010,258.3999939,17821,17224
6/26/2010,53.29999924,30521,332
6/26/2010,74.69999695,28838,235
6/26/2010,740.7999878,7985,3193
6/26/2010,570.5,9934,227
6/27/2010,205.8999939,20384,63
6/27/2010,78.30000305,28637,220
6/27/2010,1253.599976,5025,305
6/27/2010,961.4000244,6380,60
6/27/2010,66468.70313,43,4
6/27/2010,147.8999939,24167,469
6/27/2010,621.5,9250,28
6/27/2010,172.3000031,22485,392
6/27/2010,53.5,30504,926
6/27/2010,41.09999847,31448,427
6/27/2010,120.1999969,26132,22267
6/28/2010,1364.599976,4624,186
6/28/2010,57.40000153,30128,309
6/28/2010,276.2999878,17032,920
6/28/2010,129.5,25431,121
6/28/2010,61.40000153,29762,290
6/28/2010,1362.800049,4630,27
6/29/2010,1310.699951,4815,1511
6/29/2010,10446.5,604,140
6/29/2010,69.5,29182,257
6/29/2010,495.3999939,11120,18
6/29/2010,41.20000076,31437,1008
6/29/2010,41.20000076,31438,1008
6/29/2010,502,10997,5616
6/29/2010,10140.7998,621,45
6/29/2010,54.70000076,30402,325
6/29/2010,46.5,31070,385
6/29/2010,93.80000305,27744,1007
6/30/2010,856.2000122,7079,52
7/1/2010,80.19999695,28524,213
7/1/2010,163.1999969,23155,6563
7/1/2010,54.79999924,30391,1272
7/1/2010,42.79999924,31296,410
7/1/2010,414.1000061,12744,142
7/1/2010,708,8271,102
7/1/2010,156.5,23606,87
7/1/2010,14486.40039,378,4
7/2/2010,50.79999924,30744,2148
7/2/2010,28.10000038,32154,568
7/2/2010,701.9000244,8346,3160
7/2/2010,46.90000153,31037,381
7/2/2010,240.6000061,18703,98
7/2/2010,285.5,16677,310
7/2/2010,95.09999847,27677,4327
7/3/2010,60.09999847,29873,1469
7/3/2010,1808.300049,3560,143
7/3/2010,163,23169,109
7/4/2010,119.1999969,26208,3687
7/4/2010,120,26151,2973
7/5/2010,97.5,27534,4252
7/5/2010,41.40000153,31420,423
7/5/2010,289.7000122,16522,69
7/6/2010,186.5,21558,3207
7/6/2010,43.09999847,31274,408
7/6/2010,63.59999847,29598,280
7/6/2010,39.70000076,31515,438
7/6/2010,220.1999969,19605,1538
7/6/2010,38.40000153,31583,453
7/7/2010,80.90000153,28473,211
7/7/2010,698.4000244,8381,127
7/7/2010,131.8999939,25265,699
7/7/2010,194.1000061,21065,67
7/7/2010,83.69999695,28287,202
7/7/2010,399.6000061,13091,487
7/7/2010,176,22252,7717
7/7/2010,254.6999969,18003,348
7/8/2010,1363.599976,4628,665
7/8/2010,1401.900024,4495,243
