date,Bejing,Chongqing,Guangdong,Shanghai
1/1/2011,2,4,54,6
1/1/2012,2,2,154,12
1/1/2013,13,10,243,11
1/1/2014,20,22,300,44
1/1/2015,61,42,418,53
